省份,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,12,26,0,0
天津市,14,47,1,5,0,0
河北省,0,0,1,2,1,1
山西省,22,22,0,1,0,0
内蒙古自治区,2,2,1,1,0,0
辽宁省,0,0,2,4,0,0
吉林省,0,0,2,3,0,0
黑龙江省,2,12,2,3,0,0
上海市,34,34,4,20,0,0
江苏省,0,0,4,5,0,0
浙江省,14,29,20,30,0,0
安徽省,14,14,14,15,0,0
福建省,4,4,4,5,0,0
江西省,12,17,4,7,0,0
山东省,9,9,7,9,0,0
河南省,42,42,4,9,0,0
湖北省,417,710,105,549,7,24
湖南省,20,25,5,9,0,0
广东省,10,17,21,53,0,0
广西壮族自治区,0,2,8,13,0,0
海南省,0,0,1,5,0,0
重庆市,53,71,18,27,0,0
四川省,6,10,10,15,0,0
贵州省,0,0,0,3,0,0
云南省,1,1,1,2,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,3,3,0,0
甘肃省,0,0,2,2,0,0
青海省,0,0,0,0,0,0
宁夏回族自治区,1,1,1,2,0,0
新疆维吾尔自治区,3,3,2,2,0,0
台湾省,0,0,0,1,0,0
香港特别行政区,0,0,1,2,0,0
澳门特别行政区,0,0,1,2,0,0
