"
EU/EEA and the UK
","
Cases 
","
Deaths 
"
"
Italy
","
4636
","
197
"
"
Germany
","
684
","
0
"
"
France
","
613
","
9
"
"
Spain
","
374
","
5
"
"
United Kingdom
","
163
","
1
"
"
Sweden
","
137
","
0
"
"
Netherlands
","
128
","
1
"
"
Norway
","
113
","
0
"
"
Belgium
","
109
","
0
"
"
Austria
","
74
","
0
"
"
Greece
","
45
","
0
"
"
Iceland
","
43
","
0
"
"
Denmark
","
23
","
0
"
"
Czech Republic
","
19
","
0
"
"
Finland
","
19
","
0
"
"
Ireland
","
18
","
0
"
"
Portugal
","
13
","
0
"
"
Croatia
","
11
","
0
"
"
Estonia
","
10
","
0
"
"
Slovenia
","
9
","
0
"
"
Romania
","
7
","
0
"
"
Poland
","
5
","
0
"
"
Hungary
","
4
","
0
"
"
Luxembourg
","
3
","
0
"
"
Slovakia
","
1
","
0
"
"
Latvia
","
1
","
0
"
"
Lithuania
","
1
","
0
"
"
Liechtenstein
","
1
","
0
"
"
Total
","
7264
","
213
"
