EU/EEA and the UK,Sum of Cases,Sum of Deaths
Italy,63927,6077
Spain,33089,2182
Germany,29212,126
France,19856,860
United_Kingdom,6650,335
Netherlands,4749,213
Austria,4486,25
Belgium,3743,88
Norway,2371,8
Portugal,2060,23
Sweden,2016,25
Denmark,1460,24
Czech_Republic,1236,1
Ireland,1125,6
Luxembourg,875,8
Poland,749,8
Finland,700,1
Greece,695,17
Iceland,588,2
Romania,576,7
Slovenia,442,1
Estonia,352,0
Croatia,306,0
Bulgaria,201,3
Slovakia,191,0
Hungary,187,8
Latvia,180,0
Lithuania,179,1
Cyprus,116,0
Malta,107,0
Liechtenstein,46,0
Total,182470,10049
