EU/EEA and the UK,Cases,Deaths
Spain,152446,15238
Italy,143626,18281
Germany,113525,2373
France,86334,12210
United_Kingdom,65077,7978
Belgium,24983,2523
Netherlands,21762,2396
Portugal,13956,409
Austria,13248,295
Sweden,9141,793
Ireland,7393,263
Norway,6160,88
Denmark,5635,237
Poland,5575,174
Czechia,5569,112
Romania,5202,229
Luxembourg,3115,52
Finland,2605,42
Greece,1955,86
Iceland,1648,6
Croatia,1407,20
Estonia,1207,24
Hungary,1190,77
Slovenia,1124,43
Lithuania,955,15
Slovakia,701,2
Bulgaria,624,24
Latvia,589,2
Cyprus,564,15
Malta,337,2
Liechtenstein,79,1
Total,697732,64010
