EU/EEA and the UK,Cases,Deaths,Reported cases per 100 000 population,Deaths cases per 100 000 population
Spain,195944,20453,419.367,43.77431
Italy,178972,23660,296.1579,39.15191
Germany,141672,4404,170.8375,5.310636
United_Kingdom,120067,16060,180.5818,24.15437
France,112606,19718,168.1007,29.43545
Belgium,38496,5683,337.0318,49.75456
Netherlands,32655,3684,189.5129,21.38005
Portugal,20206,714,196.5227,6.944335
Ireland,15251,610,314.2265,12.56823
Austria,14710,452,166.2704,5.109055
Sweden,14385,1540,141.2624,15.12298
Poland,9287,360,24.45328,0.947904
Romania,8746,434,44.91131,2.22862
Denmark,7384,355,127.3664,6.123386
Norway,7068,154,132.9987,2.897822
Czechia,6787,188,63.87347,1.769296
Finland,3783,94,68.55683,1.7035
Luxembourg,3550,73,584.1429,12.01195
Greece,2235,110,20.83398,1.025386
Hungary,1984,199,20.30959,2.037101
Croatia,1871,47,45.75243,1.149313
Iceland,1771,9,500.8852,2.545436
Estonia,1528,40,115.6801,3.028275
Slovenia,1330,74,64.33288,3.579424
Lithuania,1326,36,47.53484,1.290539
Slovakia,1161,12,21.31444,0.220304
Bulgaria,915,43,13.02636,0.612168
Cyprus,767,17,64.49362,1.429454
Latvia,727,5,37.73601,0.259532
Malta,427,3,88.3089,0.620437
Liechtenstein,82,1,216.3018,2.637826
Total,947693,99232, , 
