EU/EEA and the UK,Sum of Cases,Sum of Deaths,Reported cases per 100 000 population,Reported deaths per 100 000 population
Spain,209465,23190,448.3052,49.63215
Italy,199414,26977,329.9847,44.64079
United_Kingdom,157149,21092,236.3534,31.72254
Germany,156337,5913,188.5215,7.130288
France,128339,23293,191.5872,34.77229
Belgium,46687,7207,408.7438,63.09716
Netherlands,38245,4518,221.9544,26.22016
Portugal,24027,928,233.6856,9.02569
Ireland,19648,1102,404.8208,22.70524
Sweden,18926,2274,185.8556,22.33095
Austria,15256,549,172.4419,6.205467
Poland,11902,562,31.33874,1.479783
Romania,11339,631,58.22654,3.240228
Denmark,8698,427,150.0316,7.365312
Norway,7533,193,141.7487,3.631686
Czechia,7449,223,70.10365,2.098686
Finland,4695,193,85.0844,3.497612
Luxembourg,3729,88,613.5969,14.48016
Hungary,2649,291,27.11699,2.978876
Greece,2534,136,23.62116,1.26775
Croatia,2039,59,49.86062,1.442754
Iceland,1792,10,506.8246,2.828262
Estonia,1647,50,124.6892,3.785344
Lithuania,1449,41,51.94418,1.46978
Slovenia,1407,83,68.05742,4.014759
Slovakia,1381,18,25.35335,0.330456
Bulgaria,1363,58,19.4043,0.825715
Cyprus,822,20,69.11832,1.681711
Latvia,818,13,42.45949,0.674784
Malta,450,4,93.06558,0.82725
Liechtenstein,83,1,218.9396,2.637826
Total,1087272,120144, , 
