EU/EEA and the UK,Cases,Deaths,Reported cases per 100 000 population,Reported deaths per 100 000 population
Spain,213435,24543,456.802,52.52789
Italy,205463,27967,339.9944,46.27901
United_Kingdom,171253,26771,257.5659,40.26381
Germany,159119,6288,191.8763,7.582488
France,129581,24376,193.4413,36.38902
Belgium,48519,7594,424.783,66.48533
Netherlands,39316,4795,228.1699,27.82772
Portugal,25056,989,243.6936,9.618974
Sweden,21092,2586,207.126,25.39483
Ireland,20612,1232,424.6827,25.38371
Austria,15457,584,174.7139,6.60108
Poland,12877,644,33.90598,1.695694
Romania,12240,717,62.85324,3.681844
Denmark,9158,452,157.9661,7.796537
Norway,7710,204,145.0793,3.838673
Czechia,7682,236,72.29645,2.221031
Finland,4995,211,90.52111,3.823815
Luxembourg,3784,90,622.647,14.80926
Hungary,2863,323,29.30764,3.30645
Greece,2591,140,24.1525,1.305037
Croatia,2076,69,50.76539,1.687289
Iceland,1797,10,508.2387,2.828262
Estonia,1689,52,127.8689,3.936758
Bulgaria,1506,66,21.44012,0.939607
Slovenia,1429,91,69.12157,4.401724
Slovakia,1396,23,25.62873,0.42225
Lithuania,1385,45,49.64989,1.613173
Latvia,858,15,44.53575,0.778597
Cyprus,850,20,71.47272,1.681711
Malta,465,4,96.16777,0.82725
Liechtenstein,83,1,218.9396,2.637826
Total,1126337,131138, , 
