EU/EEA and the UK,Sum of Cases,Sum of Deaths,14-day cumulative number of COVID-19 cases per 100 000,14-day cumulative number of COVID-19 deaths per 100 000
Spain,716 481,31 232,319.9,3.2
France,513 034,31 661,223.4,1.1
United_Kingdom,423 236,41 936,92.4,0.5
Italy,306 235,35 801,35.5,0.3
Germany,282 730,9 452,29.2,0.1
Romania,119 683,4 633,95.8,2.7
Belgium,110 882,9 969,156.0,0.4
Netherlands,105 810,6 319,151.0,0.4
Sweden,90 923,5 880,41.1,0.3
Poland,84 396,2 392,29.9,0.6
Portugal,72 055,1 936,89.9,0.8
Czechia,61 318,581,257.8,1.2
Austria,42 317,786,111.3,0.4
Ireland,34 315,1 797,76.3,0.3
Denmark,25 594,647,109.9,0.3
Hungary,23 077,730,124.5,1.0
Bulgaria,19 828,789,29.0,1.1
Greece,16 913,369,39.0,0.6
Croatia,15 795,266,65.9,1.3
Norway,13 406,270,28.9,0.1
Finland,9 484,343,17.6,0.1
Luxembourg,8 233,124,174.9,0.0
Slovakia,8 048,41,51.3,0.1
Slovenia,5 007,135,72.5,0.2
Lithuania,4 184,89,33.7,0.1
Estonia,3 118,64,36.7,0.0
Malta,2 929,29,138.0,2.8
Iceland,2 561,10,112.0,0.0
Cyprus,1 671,22,17.2,0.1
Latvia,1 625,36,8.6,0.1
Liechtenstein,117,1,20.8,0.0
Total, 3125005,188 340,NA,NA
